strategy,ticker,tf,rr,stop_mult,target_mult,long_only,n_trades,win_rate_pct,avg_r,expectancy_r,profit_factor,net_pnl_dollars,trades_per_day,max_consec_losses,max_dd_dollars,max_dd_pct,recovery_days,sharpe_R,kelly_pct,slip_atr_frac,survival_score,n_train,n_test,test_win_rate_pct,test_avg_r
donchian_20,USDJPY,D1,1.0,1.5,1.5,True,90,52.22,-0.0691,-0.0691,0.866,-645.71,0.032,3,936.49,0.94,,-0.069,4.44,0.05,-30.0,47,43,53.49,-0.0323
ema_pullback_20_50,AUDUSD,D1,1.0,1.5,1.5,True,186,52.15,-0.1466,-0.1466,0.825,-1176.22,0.066,6,1749.0,1.74,,-0.145,4.3,0.05,-30.0,100,86,56.98,-0.0436
donchian_55,GBPJPY,M15,1.0,1.5,1.5,True,209,52.15,-0.3599,-0.3599,0.482,-920.27,1.811,7,932.57,0.93,,-0.359,4.31,0.05,-30.0,121,88,47.73,-0.4977
ema_cross_12_26,USDCHF,M15,1.0,1.5,1.5,True,139,51.8,-0.4546,-0.4546,0.377,-645.09,1.205,7,661.31,0.66,,-0.458,3.6,0.05,-30.0,80,59,47.46,-0.559
ema_pullback_20_50,XAGUSD,D1,1.0,1.5,1.5,True,205,51.71,-0.1131,-0.1131,0.717,-15734.75,0.072,6,17343.56,17.07,,-0.111,3.41,0.05,-30.0,105,100,50.0,-0.1337
ema_cross_9_20,XAGUSD,M15,1.0,1.5,1.5,True,159,51.57,-0.0458,-0.0458,0.96,-1374.39,1.291,7,11211.97,10.37,,-0.046,3.14,0.05,-30.0,91,68,50.0,-0.0805
ema_cross_12_26,US100.cash,H1,1.0,1.5,1.5,True,128,51.56,-0.4032,-0.4032,0.475,-585.06,0.257,4,601.0,0.6,,-0.396,3.12,0.05,-30.0,78,50,48.0,-0.4124
donchian_55,US30.cash,H1,1.0,1.5,1.5,True,167,51.5,-0.32,-0.32,0.523,-840.67,0.335,6,899.46,0.9,,-0.319,2.99,0.05,-30.0,101,66,57.58,-0.1862
ema_cross_9_20,US100.cash,H1,1.0,1.5,1.5,True,171,51.46,-0.4145,-0.4145,0.49,-734.69,0.344,6,752.7,0.75,,-0.409,2.92,0.05,-30.0,105,66,46.97,-0.4478
ema_cross_12_26,USDSEK,M15,1.0,1.5,1.5,True,138,51.45,-0.3389,-0.3389,0.583,-525.94,1.196,5,525.94,0.53,,-0.332,2.9,0.05,-30.0,85,53,52.83,-0.2785
ema_cross_12_26,XAGUSD,D1,1.0,1.5,1.5,True,35,51.43,-0.0484,-0.0484,0.43,-9677.35,0.012,4,12145.41,11.85,,-0.048,2.86,0.05,-30.0,21,14,50.0,-0.0726
ema_cross_9_20,EURJPY,H1,1.0,1.5,1.5,True,177,51.41,-0.2227,-0.2227,0.609,-1024.76,0.377,5,1183.12,1.18,,-0.223,2.82,0.05,-30.0,109,68,51.47,-0.2411
ema_cross_9_20,GER40.cash,H1,1.0,1.5,1.5,True,177,51.41,-0.419,-0.419,0.447,-850.49,0.345,6,952.14,0.95,,-0.412,2.82,0.05,-30.0,107,70,52.86,-0.3664
ema_cross_12_26,XPTUSD,D1,1.0,1.5,1.5,True,37,51.35,-0.0507,-0.0507,0.733,-2610.88,0.013,5,4417.3,4.34,,-0.05,2.7,0.05,-30.0,21,16,43.75,-0.2021
donchian_55,EURUSD,D1,1.0,1.5,1.5,True,37,51.35,-0.0741,-0.0741,0.984,-37.13,0.013,4,471.04,0.47,60.0,-0.073,2.7,0.05,-30.0,20,17,52.94,-0.0437
ema_pullback_20_50,XAGUSD,M15,1.0,1.5,1.5,True,609,51.23,-0.1204,-0.1204,0.924,-6591.7,4.945,7,12871.71,12.21,,-0.119,2.46,0.05,-30.0,411,198,48.99,-0.1692
ema_cross_9_20,XPTUSD,M15,1.0,1.5,1.5,True,176,51.14,-0.0664,-0.0664,0.943,-1052.91,1.429,7,3873.79,3.77,,-0.066,2.27,0.05,-30.0,104,72,44.44,-0.2056
rsi_30_70,EURJPY,M15,1.0,1.5,1.5,True,88,51.14,-0.393,-0.393,0.464,-445.09,0.763,5,505.11,0.51,,-0.386,2.27,0.05,-30.0,59,29,51.72,-0.4623
ema_cross_12_26,GER40.cash,H1,1.0,1.5,1.5,True,133,51.13,-0.404,-0.404,0.445,-680.23,0.259,5,725.55,0.73,,-0.401,2.26,0.05,-30.0,84,49,55.1,-0.2796
donchian_55,EURJPY,H1,1.0,1.5,1.5,True,223,51.12,-0.2456,-0.2456,0.653,-1007.82,0.475,8,1232.45,1.23,,-0.244,2.24,0.05,-30.0,125,98,51.02,-0.2704
ema_cross_12_26,GBPJPY,M15,1.0,1.5,1.5,True,135,51.11,-0.3744,-0.3744,0.487,-617.96,1.17,5,636.39,0.64,,-0.372,2.22,0.05,-30.0,79,56,58.93,-0.2694
donchian_55,XAUUSD,M15,1.0,1.5,1.5,True,182,51.1,-0.0691,-0.0691,0.841,-3038.31,1.478,7,4885.55,4.83,,-0.069,2.2,0.05,-30.0,128,54,51.85,-0.0521
rsi_30_70,NZDUSD,H1,1.0,1.5,1.5,True,96,51.04,-0.306,-0.306,0.626,-362.18,0.205,6,581.9,0.58,,-0.3,2.08,0.05,-30.0,54,42,50.0,-0.3366
donchian_55,GBPUSD,H1,1.0,1.5,1.5,True,194,51.03,-0.2006,-0.2006,0.691,-977.25,0.413,7,1092.37,1.09,,-0.2,2.06,0.05,-30.0,128,66,51.52,-0.1942
ema_pullback_20_50,XAGUSD,H1,1.0,1.5,1.5,True,657,50.99,-0.1368,-0.1368,0.907,-7799.97,1.322,8,14861.48,14.03,,-0.136,1.98,0.05,-30.0,394,263,54.75,-0.0365
donchian_55,AUDUSD,H1,1.0,1.5,1.5,True,206,50.97,-0.3046,-0.3046,0.591,-908.07,0.439,6,933.1,0.93,,-0.302,1.94,0.05,-30.0,109,97,54.64,-0.2469
rsi_30_70,US100.cash,H1,1.0,1.5,1.5,True,112,50.89,-0.3627,-0.3627,0.545,-469.3,0.225,4,504.79,0.5,,-0.353,1.79,0.05,-30.0,65,47,57.45,-0.2073
ema_cross_9_20,GBPJPY,H1,1.0,1.5,1.5,True,175,50.86,-0.1948,-0.1948,0.663,-1064.02,0.373,5,1275.59,1.27,,-0.195,1.71,0.05,-30.0,113,62,54.84,-0.1229
donchian_55,EURJPY,D1,1.0,1.5,1.5,True,59,50.85,-0.0908,-0.0908,0.786,-741.88,0.021,4,1026.52,1.02,,-0.09,1.69,0.05,-30.0,27,32,46.88,-0.1649
donchian_55,USDCAD,H1,1.0,1.5,1.5,True,185,50.81,-0.342,-0.342,0.464,-1032.86,0.394,6,1040.08,1.04,,-0.343,1.62,0.05,-30.0,112,73,50.68,-0.3631
donchian_20,EURUSD,H1,1.0,1.5,1.5,True,315,50.79,-0.2401,-0.2401,0.608,-1807.18,0.671,7,1869.74,1.87,,-0.24,1.59,0.05,-30.0,194,121,47.11,-0.3469
donchian_20,XAGUSD,H1,1.0,1.5,1.5,True,331,50.76,-0.0758,-0.0758,0.924,-4365.52,0.666,6,12907.17,11.99,,-0.076,1.51,0.05,-30.0,193,138,53.62,-0.0033
donchian_20,GBPJPY,H1,1.0,1.5,1.5,True,316,50.63,-0.2079,-0.2079,0.664,-1800.5,0.673,6,1934.32,1.93,,-0.207,1.27,0.05,-30.0,181,135,52.59,-0.1813
rsi_30_70,EURUSD,H1,1.0,1.5,1.5,True,93,50.54,-0.242,-0.242,0.639,-473.7,0.198,5,617.73,0.62,,-0.24,1.08,0.05,-30.0,54,39,38.46,-0.4976
ema_pullback_20_50,US30.cash,D1,1.0,1.5,1.5,True,190,50.53,-0.2095,-0.2095,0.837,-778.18,0.072,5,1326.03,1.33,,-0.205,1.05,0.05,-30.0,113,77,59.74,-0.0255
donchian_20,EURJPY,H1,1.0,1.5,1.5,True,337,50.45,-0.2534,-0.2534,0.606,-1843.29,0.718,7,1891.11,1.89,,-0.253,0.89,0.05,-30.0,194,143,54.55,-0.1938
ema_cross_12_26,EURJPY,H1,1.0,1.5,1.5,True,133,50.38,-0.2401,-0.2401,0.658,-668.31,0.283,6,785.88,0.79,,-0.239,0.75,0.05,-30.0,84,49,53.06,-0.207
ema_cross_12_26,XPTUSD,M15,1.0,1.5,1.5,True,139,50.36,-0.0819,-0.0819,0.92,-1168.15,1.128,5,3394.44,3.33,,-0.082,0.72,0.05,-30.0,89,50,46.0,-0.1731
donchian_55,XPTUSD,M15,1.0,1.5,1.5,True,181,50.28,-0.0838,-0.0838,0.807,-3857.36,1.469,5,4147.55,4.14,,-0.084,0.55,0.05,-30.0,122,59,44.07,-0.2126
ema_cross_9_20,AUDUSD,M15,1.0,1.5,1.5,True,185,50.27,-0.497,-0.497,0.391,-821.85,1.604,5,833.31,0.83,,-0.487,0.54,0.05,-30.0,115,70,44.29,-0.5922
donchian_20,GBPUSD,H1,1.0,1.5,1.5,True,319,50.16,-0.2194,-0.2194,0.653,-1831.73,0.68,9,1927.49,1.93,,-0.219,0.31,0.05,-30.0,205,114,48.25,-0.261
ema_cross_12_26,EURUSD,D1,1.0,1.5,1.5,True,32,50.0,-0.0767,-0.0767,0.853,-269.27,0.011,5,1153.03,1.15,,-0.077,0.0,0.05,-100.0,21,11,72.73,0.433
donchian_20,EU50.cash,D1,1.0,1.5,1.5,True,52,50.0,-0.4264,-0.4264,0.364,-267.46,0.027,6,297.0,0.3,,-0.431,0.0,0.05,-100.0,32,20,30.0,-0.7635
donchian_20,XPTUSD,M15,1.0,1.5,1.5,True,304,50.0,-0.0895,-0.0895,0.821,-6028.79,2.468,8,8271.5,8.12,,-0.089,0.0,0.05,-100.0,192,112,46.43,-0.1658
donchian_55,AUDUSD,D1,1.0,1.5,1.5,True,46,50.0,-0.1258,-0.1258,0.782,-541.68,0.016,4,802.19,0.8,,-0.126,0.0,0.05,-100.0,23,23,47.83,-0.1874
donchian_55,AUDUSD,M15,1.0,1.5,1.5,True,194,50.0,-0.5161,-0.5161,0.378,-888.86,1.682,6,900.15,0.9,,-0.505,0.0,0.05,-100.0,119,75,50.67,-0.4899
donchian_55,EU50.cash,D1,1.0,1.5,1.5,True,36,50.0,-0.4747,-0.4747,0.385,-163.15,0.019,3,187.39,0.19,,-0.463,0.0,0.05,-100.0,22,14,35.71,-0.7153
rsi_30_70,USDSEK,H1,1.0,1.5,1.5,True,106,50.0,-0.1896,-0.1896,0.672,-751.13,0.226,9,953.21,0.95,,-0.189,0.0,0.05,-100.0,67,39,56.41,-0.0852
donchian_20,AUDUSD,H1,1.0,1.5,1.5,True,341,49.85,-0.3198,-0.3198,0.531,-1870.89,0.727,7,1924.39,1.92,,-0.319,-0.29,0.05,-100.0,198,143,52.45,-0.2766
ema_pullback_20_50,XPTUSD,D1,1.0,1.5,1.5,True,211,49.76,-0.1493,-0.1493,0.745,-9620.17,0.075,6,10233.43,10.17,,-0.148,-0.47,0.05,-100.0,135,76,51.32,-0.1075
ema_pullback_20_50,USDCAD,D1,1.0,1.5,1.5,True,203,49.75,-0.2133,-0.2133,0.688,-2384.1,0.072,6,2635.27,2.63,,-0.211,-0.49,0.05,-100.0,115,88,55.68,-0.1001
